round,average_score,average_distance,num_closer_than_average,winner,score,distance,lat,lng,description,silver,silver_score,silver_distance,silver_lat,silver_lng,silver_description,bronze,bronze_score,bronze_distance,bronze_lat,bronze_lng,bronze_description,loser,loser_score,loser_distance,loser_lat,loser_lng,loser_description
Vyborg,6641.900693069307,3474367.569474672,570,Finland (without Åland),12987.61,27537.699969829344,60.95082100000018,28.65682,Southeastmost point,Finland,12987.61,27537.699969829344,60.95082100000018,28.65682,Southeastmost point,Vladimir Putin,11980.91,32324.153516553608,60.775791,28.174627000000157,Leningrad northwestmost point,Kiwi-Man (without Tokelau),1004.57,15993733.128104856,-29.242777,-177.982224,Northwestmost point
Lappeenranta,6641.116809680968,3468698.9144906444,569,elli,12999.75,1008.3836458109236,61.04988,28.18444,,Arctic94 (Big beef cow enjoyer),11990.12,17525.92842367283,61.120319,28.488797,,Finland (without Åland),10976.5,27938.017336464516,60.95082100000018,28.65682,Southeastmost point,Kiwi-Man (without Tokelau),1006.89,15984423.69340677,-29.242777,-177.982224,Northwestmost point
Rantasalmi,6631.82908690869,3501472.7057384714,569,Finland Taipan,12990.71,37169.43458040858,61.8673,28.8709,,morphingamoeba,11984.86,38553.679225710555,61.864111,28.898722,,Savanna,10979.35,38558.46289002261,61.86408,28.898787,,Kiwi-Man (without Tokelau),1029.22,15895063.14650024,-29.242777,-177.982224,Northwestmost point
Nilsiä,6623.59503850385,3534458.074791594,568,Arctic94 (Big beef cow enjoyer),12999.92,335.6762201821624,63.204533,28.083859,,Joxu,11992.22,9091.220346242355,63.286516,28.035901,,TheSuomi,10985.94,12203.92388387719,63.216378,28.324935,,Kiwi-Man (without Tokelau),1051.99,15803890.94231028,-29.242777,-177.982224,Northwestmost point
Sotkamo,6613.753432343235,3573854.4031272125,566,oh2mp,12998.41,6345.125019178672,64.133145,28.285876,,morphingamoeba,11992.67,7285.030493825108,64.128528,28.266917,,Muik,10979.15,39395.11810981085,63.892914,29.010591,,Kiwi-Man (without Tokelau),1074.69,15713053.976566555,-29.242777,-177.982224,Northwestmost point
Taivalkoski,6604.148140814082,3621112.0235197255,563,Arctic94 (Big beef cow enjoyer),12992.5,30012.848059775213,65.622347,27.610809,,Finland (without Åland),11975.6,53581.03248892147,66.00228118900009,28.752260207000063,Lapland southeastmost point,Finland,11975.6,53581.03248892147,66.00228118900009,28.752260207000063,Lapland southeastmost point,Kiwi-Man (without Tokelau),1104.98,15591785.274067242,-29.242777,-177.982224,Northwestmost point
Salla (Finland),6591.54605060506,3675961.541141356,562,Finland (without Åland),12984.85,38594.35532113878,66.48641204900008,28.69404029900005,Oulu northmost point,Finland,12984.85,38594.35532113878,66.48641204900008,28.69404029900005,Oulu northmost point,Joxu,11979.26,38916.36268105762,66.518888,29.054805,,Kiwi-Man (without Tokelau),1135.93,15467912.71125384,-29.242777,-177.982224,Northwestmost point
Savukoski,6585.990231023103,3684966.4504349586,562,Finland (without Åland),12994.79,20846.063308802044,67.21076367644457,27.72174224895005,"67.210764, 27.721742",Finland,11988.84,22627.283040787646,67.21076367644457,27.676127940000065,"67.210764, 27.676128",Finland Taipan,10976.57,49713.738554313626,67.0232,27.2387,,Kiwi-Man (without Tokelau),1142.96,15439754.766932769,-29.242777,-177.982224,Northwestmost point
Tana bru,6557.630440044004,3811726.2081906097,557,Finland (without Åland),12990.63,15452.849959388113,70.09145355200013,27.931568145000142,Northmost point,Finland,12990.63,15452.849959388113,70.09145355200013,27.931568145000142,Northmost point,Norway,11978.67,41307.85463489708,69.94539487500018,28.98661503409093,"69.945395, 28.986615",Antarctica,1180.25,15290493.231028002,-66.40894396551718,51.142061281337135,"-66.408944, 51.142061"
Flagstaff (South Africa),5406.692519251925,8405798.983837977,493,South Africa,12987.0,52059.054556461764,-30.698499678999962,29.810770035000065,Eastern Cape northeastmost point,Lesotho,11962.9,126458.76507316667,-30.031219482999962,28.985620499000106,Southeastmost point,them,10938.73,201167.04958149503,-29.854836,31.03925,,Ralsoda,757.61,16982298.752955917,48.400017,-122.65968,
Kokstad,5417.095533553355,8364156.258275219,494,South Africa,12993.65,25414.39150058319,-30.640989303999906,29.181970596000095,KwaZulu-Natal southwestmost point,Lesotho,11976.71,71167.62438549974,-30.031219482999962,28.985620499000106,Southeastmost point,them,10945.7,173259.75211434925,-29.854836,31.03925,,Ralsoda,769.71,16933857.66125021,48.400017,-122.65968,
Wembesi,5444.417700770077,8254761.156572486,498,Lesotho,12988.76,44995.58377475085,-29.336259841999947,29.455709458000058,Eastmost point,South Africa,11976.31,72783.93018361415,-28.4800853724999,30.15135766666678,"-28.480085, 30.151358",nhmartin4,10951.32,150779.15617769834,-29.851679,31.037518,,Ralsoda,795.52,16830559.64047869,48.400017,-122.65968,
Ladysmith (South Africa),5453.811815181518,8217156.332358691,499,South Africa,12990.65,37420.40627376113,-28.4800853724999,30.15135766666678,"-28.480085, 30.151358",Lesotho,11975.57,75732.69082746252,-29.016090391999967,29.203109741000045,Mokhotlong northeastmost point,jonas,10951.14,151482.92219519138,-28.693558,28.234535,,Ralsoda,806.07,16788320.365204297,48.400017,-122.65968,
Volksrust,5476.319680968097,8127057.499643812,505,South Africa,12994.96,20191.433624247555,-27.46176910299988,29.708370210000048,KwaZulu-Natal northwestmost point,Mbabane House,11967.29,108884.60603615055,-26.844480513999816,30.813219070000127,Manzini southwestmost point,sirey,10958.74,121095.06532702784,-26.771977,30.907234,,Ralsoda,830.41,16690897.866054941,48.400017,-122.65968,
eMbalenhle,5495.204290429043,8051461.933550925,517,South Africa,12992.46,30169.669644325953,-26.51800918599997,28.763910293000155,Gauteng southeastmost point,ScottV005,11971.19,93282.06997211279,-26.1371,28.2416,,LunacyEcho,10965.46,94197.4288348397,-26.134444,28.232778,,Ralsoda,861.04,16568278.245035658,48.400017,-122.65968,
Emalahleni,5507.148877887788,8003672.005343804,515,South Africa,12990.14,39477.23928540412,-25.537729262999903,29.098419190000072,Gauteng eastmost point,ScottV005,11968.66,103413.35490497433,-26.1371,28.2416,,AMgr8,10962.98,104110.52901004672,-26.132261,28.232765,,Ralsoda,873.17,16519735.332114708,48.400017,-122.65968,
Mokopane,5539.243751375137,7875196.343648308,525,South Africa,12987.82,48749.25185636317,-23.773910522499904,29.145687103000085,Limpopo centre of extremes,Cameera,11953.29,164941.5199287868,-24.454143,30.612454,,MuadBid,10941.53,189987.21134953309,-24.674055,30.810958,,Ralsoda,914.1,16355867.197236128,48.400017,-122.65968,
Polokwane,5543.069856985699,7859855.58271469,525,South Africa,12994.47,22129.06621198981,-23.785778332184474,29.294215147513913,Limpopo centroid,Cameera,11961.74,131121.32435220497,-24.454143,30.612454,,MuadBid,10948.84,160701.00784921792,-24.674055,30.810958,,Ralsoda,913.98,16356347.715490056,48.400017,-122.65968,
Alldays,5567.29303630363,7762890.843467248,529,South Africa,12998.55,5815.618494056708,-22.702762776590824,29.05540033333344,"-22.702763, 29.0554",Botswana,11986.15,33387.904459682584,-22.488939284999894,28.829099655000046,Central southeastmost point,Zimbabwe,10956.98,128122.89728439812,-22.35493016099997,30.294939303000035,Matabeleland South southmost point,Ralsoda,947.82,16220901.9559409,48.400017,-122.65968,
Gwanda,5599.520671067106,7633883.583728149,537,Zimbabwe,12997.9,8393.799299431683,-21.009498162145118,28.98756546758663,Matabeleland South centroid,Botswana,11963.38,124549.16351103387,-21.56164169199991,28.00996017400007,North-East eastmost point,South Africa,10951.97,148185.0342151008,-22.125030516999914,29.654430390000186,Northmost point,Ralsoda,989.11,16055621.267972449,48.400017,-122.65968,
Gweru,5624.064400440044,7535634.364276389,548,Zimbabwe,12995.65,17400.275272167055,-19.332965782649076,29.926793836449463,Midlands pole of inaccessibility,ManasMan,11957.42,148411.0076272276,-20.272971,30.933914,,The Sultan of Salt,10937.09,207734.08053723385,-18.47122,31.49927,,Ralsoda,1012.99,15960014.70630242,48.400017,-122.65968,
Kwekwe,5633.686611661166,7497141.091411565,550,Zimbabwe,12997.66,9357.059597174832,-18.993830477064584,29.870404013007477,Centroid,The Sultan of Salt,11948.39,184539.8125717822,-18.47122,31.49927,,ManasMan,10941.52,190009.60137279137,-20.272971,30.933914,,Ralsoda,1025.46,15910118.898650471,48.400017,-122.65968,
Karoi,5673.03600660066,7339624.373415266,559,Zimbabwe,12989.61,41582.222933096484,-17.18342648227911,29.71188974594632,Mashonaland West centroid,Zambia,11969.97,98161.71690941481,-16.474304198999903,28.840270996000015,Southern eastmost point,Mozambique,10959.21,119203.43999999955,-15.999998092999876,30.424594878999976,Tete southwestmost point,Samoa,1046.41,15826241.453113057,-13.79585075299991,-172.5474700919999,Southwestmost point
Mkushi,5732.211331133113,7102770.253775215,579,Democratic Republic of the Congo,12990.02,39969.70298983897,-13.452476286999854,29.720937939000123,Southmost point,Zambia,11983.95,42193.20195633793,-13.414476286999957,29.065937939000094,Copperbelt eastmost point,Mozambique,10944.73,177144.91865318597,-14.99787628699994,30.219437939000102,Westmost point,Samoa,971.74,16125144.854828646,-13.79585075299991,-172.5474700919999,Southwestmost point
Samfya,5772.564895489549,6941209.901904859,581,Zambia,12989.17,43333.00132046678,-11.065976286999955,29.30163793900005,Northern southwestmost point,Democratic Republic of the Congo,11963.39,124510.14148449407,-10.682097728764562,28.65236282333342,"-10.682098, 28.652363",Tanzania,10902.06,347977.3514399306,-8.6028762869999,31.050537939000037,Southwestmost point,Samoa,926.92,16304566.98356565,-13.79585075299991,-172.5474700919999,Southwestmost point
Luwingu,5791.26504950495,6866353.864858024,581,Zambia,12985.49,58089.69870427436,-10.41632628699989,29.419752309000103,Luapula centre of extremes,Democratic Republic of the Congo,11957.77,147000.83609393338,-10.682097728764562,28.65236282333342,"-10.682098, 28.652363",Tanzania,10933.56,221863.83702045467,-8.6028762869999,31.050537939000037,Southwestmost point,Samoa,911.14,16367742.069348402,-13.79585075299991,-172.5474700919999,Southwestmost point
Kawambwa,5802.795654565457,6820171.574794506,582,Zambia,12982.61,69622.87797003987,-10.350557750917389,29.365497013158716,Luapula boundary circular mean,Democratic Republic of the Congo,11967.14,109488.23828741859,-10.682097728764562,28.65236282333342,"-10.682098, 28.652363",Tanzania,10926.24,251168.09594992964,-8.505044495822318,30.959772704752314,Rukwa southwestmost point,Samoa,885.76,16469313.180549972,-13.79585075299991,-172.5474700919999,Southwestmost point
Kaputa,5824.755522552256,6732265.88637406,582,Democratic Republic of the Congo,12998.1,7603.916746400027,-8.419176286999914,29.614437939000084,Tanganyika southmost point,Zambia,11991.66,11350.768515510796,-8.393676286999892,29.59213793900012,Luapula northeastmost point,Tanzania,10953.32,142789.81540580545,-8.505044495822318,30.959772704752314,Rukwa southwestmost point,Cook Islands,870.17,16531733.318805913,-21.959087370999896,-157.9335021969999,Southmost point
Baudhuinville,5849.446655665566,6633451.54426071,582,Tanzania,12988.78,44925.001454196536,-6.763504504999958,29.98451042199997,Kigoma southmost point,Democratic Republic of the Congo,11973.48,84125.51397580699,-7.82301400099982,29.573074,Haut-Katanga northeastmost point,Zambia,10952.65,145448.57469962956,-8.380376286999933,29.56023793900016,Luapula northmost point,Cook Islands,833.34,16679159.546256797,-21.959087370999896,-157.9335021969999,Southmost point
Kalemie,5871.796160616062,6544011.196688221,584,Democratic Republic of the Congo,12982.85,68657.88300073899,-5.431340008483801,29.535269443104447,Tanganyika northeastmost point,Tanzania,11973.41,84382.21296069911,-6.504196702605221,29.713482427442063,Kigoma southwestmost point,Burundi,10946.9,168456.52692045187,-4.445250032999976,29.391475678,Makamba southwestmost point,Cook Islands,799.08,16816318.218870502,-21.959087370999896,-157.9335021969999,Southmost point
Kigoma,5889.628107810781,6472581.405698539,583,Democratic Republic of the Congo,12992.07,31742.308994395164,-5.007911681999928,29.372076034000028,Sud-Kivu southeastmost point,Tanzania,11984.84,38642.593884676724,-4.698911189999876,29.327167512000017,Westmost point,Burundi,10977.15,47391.408554776375,-4.470001219999915,29.753774642000053,Southmost point,Cook Islands,773.27,16919611.65945119,-21.959087370999896,-157.9335021969999,Southmost point
Bujumbura,5917.110451045104,6362593.435004483,585,Burundi,12999.3,2805.0500900279453,-3.38380800198129,29.336219669131722,Bujumbura Mairie centroid,Rwanda,11979.44,60272.10324411071,-2.839972733999957,29.37090682900015,Southmost point,Democratic Republic of the Congo,10962.27,106931.88117860135,-4.033189188999869,28.65236282333342,"-4.033189, 28.652363",Cook Islands,731.28,17087727.564008795,-21.959087370999896,-157.9335021969999,Southmost point
Gitarama,5938.888899889989,6275414.289266648,600,Rwanda,12996.38,14505.949134035673,-1.985574736597158,29.85223656765433,Boundary circular mean,Burundi,11985.49,36020.6313995386,-2.32684016099995,29.959877015000075,Kirundo northmost point,Stone,10979.05,39787.85530976646,-1.955766,30.094447,,Cook Islands,699.45,17215135.625765815,-21.959087370999896,-157.9335021969999,Southmost point
Goma (Democratic Republic of the Congo),5947.5999779978,6240567.584622525,602,Rwanda,12999.56,1771.9995972285328,-1.668832219999956,29.243500042000164,Iburengerazuba northwestmost point,Democratic Republic of the Congo,11993.67,3281.896923301596,-1.700123070999951,29.24236297600009,Sud-Kivu northeastmost point,Grubnlicht,10987.9,4363.102818380336,-1.70152,29.25652,,Cook Islands,684.61,17274515.446526933,-21.959087370999896,-157.9335021969999,Southmost point
Butembo,5978.6235203520355,6116380.584521977,603,Uganda,12985.15,59437.53946700538,-0.192357003999916,29.708511352000016,Kasese westmost point,Democratic Republic of the Congo,11972.21,89212.70315744187,0.53501409100005,29.990437982000174,Nord-Kivu eastmost point,fgeva,10955.1,135665.69228810098,1.246391,29.808998,,Cook Islands,636.82,17465842.031216614,-21.959087370999896,-157.9335021969999,Southmost point
Watsa,6027.272431243125,5921590.373797377,610,Democratic Republic of the Congo,12980.3,78879.07050533305,3.72387077405894,29.71370697000009,"3.723871, 29.713707",South Sudan,11963.01,126017.02954293662,3.949462892000042,30.20912933300018,Central Equatoria southwestmost point,Uganda,10954.8,136866.7266136947,3.052187919000175,30.76803016700012,Arua westmost point,Cook Islands,565.7,17750522.651435453,-21.256663999999887,-159.818604,Rarotonga southwestmost point
Maridi,6059.526072607261,5792429.99771222,617,Democratic Republic of the Congo,12986.1,55640.348231072145,4.558716774000118,29.820289612000188,Haut-Uele northeastmost point,South Sudan,11980.05,57810.74406549633,4.508943081000041,29.793117523000035,Central Equatoria westmost point,Uganda,10935.17,215412.23164366026,3.66214799900007,30.949796677,Arua northwestmost point,Cook Islands,518.31,17940221.60541943,-21.256663999999887,-159.818604,Rarotonga southwestmost point
Rumbek,6091.206204620462,5665637.769212695,624,South Sudan,12994.14,23448.65192306343,6.991558428978746,29.57614610764728,Lakes pole of inaccessibility,Democratic Republic of the Congo,11931.94,250407.04549561458,4.558716774000118,29.820289612000188,Haut-Uele northeastmost point,Central African Republic,10910.16,315559.0178970114,5.016152858999988,27.46342086800007,Eastmost point,Cook Islands,475.58,18111271.872270644,-21.256663999999887,-159.818604,Rarotonga southwestmost point
Bentiu,6133.269350935094,5497259.449439002,630,South Sudan,12995.56,17792.26785764105,9.186625255446248,29.65285484746279,Unity pole of inaccessibility,Sudan,11979.14,61457.974239090065,9.738073349000105,29.522029878000126,West Kurdufan southeastmost point,Ethiopia,10893.04,384077.741558789,7.879337311000143,33.00153732299998,Westmost point,Cook Islands,431.11,18289292.598359056,-10.893611,-165.87944,Westmost point
Kadugli,6164.326831683168,5372911.546699255,629,Sudan,12987.24,51075.23886187585,11.461047550384652,29.812553014625074,"11.461048, 29.812553",South Sudan,11973.88,82512.07787708784,10.294349671000134,29.913770675000137,Unity northmost point,Ethiopia,10869.38,478790.40934117726,8.432418823000152,33.21721649199997,Gambela Peoples northwestmost point,Cook Islands,425.33,18312426.37987989,-10.893611,-165.87944,Westmost point
Dilling,6182.696589658966,5299377.31362275,628,Sudan,12989.62,41533.69507572089,12.409830093000155,29.547470093000126,South Kurdufan northwestmost point,South Sudan,11945.2,197328.39773249452,10.294349671000134,29.913770675000137,Unity northmost point,Ethiopia,10849.11,559928.3857529525,9.55058765400014,34.10073471000004,Benshangul-Gumaz westmost point,Cook Islands,423.9,18318148.511072967,-10.893611,-165.87944,Westmost point
Burj al ‘Arab al Jadīdah,6499.821254125412,4029901.4318907214,616,Egypt,12997.22,11144.630813521235,30.889389699113757,29.6938996448293,Al Iskandariyah pole of inaccessibility,maplemanatee,11983.27,44910.531397280785,31.18244,29.896405,,BD82,10944.12,179594.69221239327,29.9723,31.12245,,Niue,590.1,17652848.606204778,-18.978612899999924,-169.8997192379999,Northwestmost point
Fethiye,6579.452640264027,3711184.7154038707,602,QXD,12999.34,2630.5712899456416,36.621815,29.109308,,Turkey,11987.45,28203.72007572739,36.876736,29.242455,Denizli southmost point,DjinN,10976.98,48058.79288345985,36.818915,28.636473,,Niue,674.97,17313107.93539861,-18.978612899999924,-169.8997192379999,Northwestmost point
Denizli,6590.7463586358635,3665976.358485863,599,Turkey,12996.01,15972.800019344164,37.73316875731439,29.26162381872626,Denizli centroid,Hernus,11990.25,16979.210096967832,37.924209,29.123429,,DjinN,10961.02,111949.37214732182,36.832985,28.638081,,Niue,695.57,17230662.231380876,-18.978612899999924,-169.8997192379999,Northwestmost point
Uşak,6595.702948294829,3646134.9609091934,598,Turkey,12996.19,15249.757516586118,38.541139603500056,29.359897613000072,Usak centre of extremes,Hernus,11972.79,86885.66919262531,37.924209,29.123429,,dfshapir,10964.92,96333.02170658749,39.376109,30.058248,,Niue,717.87,17141396.914962687,-18.978612899999924,-169.8997192379999,Northwestmost point
Kütahya,6596.858239823982,3641534.789945259,598,dfshapir,12997.91,8366.477354022065,39.376109,30.058248,,Turkey,11987.34,28616.931226322566,39.68136978200016,29.97161865300012,Bilecik southmost point,Slyther,10960.37,114567.55502363341,40.181663,29.074206,,Niue,741.34,17047439.829719786,-18.978612899999924,-169.8997192379999,Northwestmost point
Bursa,6611.418162816281,3583251.2807086795,598,Slyther,12999.51,1956.4880978347226,40.181663,29.074206,,Turkey,11992.11,9542.32917537887,40.11457026490774,29.023118051035837,Bursa centroid,mlc,10970.96,72167.01086956778,40.78566,29.41549,,Niue,742.87,17041317.611933343,-18.978612899999924,-169.8997192379999,Northwestmost point
Umraniye (Istanbul),6617.079152915291,3560566.533155081,596,maclang23,12998.77,4927.69429694391,41.015454,29.066041,,Max,11992.57,7685.506295504969,41.040996,29.039121,,mlc,10986.79,8793.614022041049,40.99092,29.02557,,Niue,760.58,16970407.848203048,-18.978612899999924,-169.8997192379999,Northwestmost point
Crişan,6628.44092409241,3515060.219748727,591,Romania,12996.7,13220.493049852383,44.94165321018619,29.302422961183538,Tulcea boundary circular mean,Ukraine,11986.65,31384.9253004492,45.20291500000019,29.685417,Odessa southmost point 1,Moldova,10965.12,95535.47554535873,45.50546600100017,28.516287001000023,Găgăuzia southeastmost point,Kiwi-Man (without Tokelau),846.47,16626585.6987195,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Kiliya,6631.679790979098,3502095.4609725266,592,Romania,12993.36,26570.648979471553,45.387848,29.594688000000136,Tulcea northeastmost point,Ukraine,11983.87,42509.048605683085,45.20291500000019,29.685417,Odessa southmost point 1,Moldova,10974.64,57426.924052306014,45.79195800100018,28.717730999000025,Taraclia southeastmost point,Kiwi-Man (without Tokelau),844.4,16634882.251890445,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Tiraspol,6631.876182618262,3501309.584893818,592,Kuis,12999.84,653.5499100663046,46.837524,29.624468,,Tat & Ptar,11994.33,659.7646003785127,46.837378,29.632083,,Aleksandersen1,10988.6,1555.718873097947,46.836436,29.610148,,Kiwi-Man (without Tokelau),857.75,16581443.96042378,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Rîbniţa,6639.439592959296,3471008.329129317,591,Moldova,12997.7,9205.001410257822,47.84576034500003,28.967035294000084,Şoldăneşti eastmost point 1,Tat & Ptar,11990.78,14858.808343430765,47.891231,28.93242,,Ukraine,10979.84,36615.511697967,48.081050873000095,28.85680580100006,Odessa northwestmost point,Kiwi-Man (without Tokelau),851.5,16606462.08616212,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Haysyn,6638.2542794279425,3475778.0443329583,589,Ukraine,12991.66,33401.70574299012,49.06824875000018,29.62013435300014,Cherkasy westmost point,Vladiker🇺🇦,11980.77,54951.412112072525,49.295,29.545222,,Moldova,10965.97,92141.99133093304,47.994007111000144,29.188543319000086,Northeastmost point,Kiwi-Man (without Tokelau),864.82,16553134.494886903,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Skvyra,6637.829130913091,3477480.1595642404,587,Ukraine,12996.73,13083.637620165011,49.63728714000006,29.558544159000178,Vinnytsya northeastmost point,Vladiker🇺🇦,11982.14,49459.04694993803,49.295,29.545222,,Шоша,10969.02,79929.80431615884,50.23436,30.465436,,Kiwi-Man (without Tokelau),876.25,16507395.276277296,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Fastiv,6636.450121012102,3482999.8082637135,587,Ukraine,12995.56,17773.834759882204,49.958759308000026,29.749792098000057,Zhytomyr eastmost point,Шоша,11983.81,42779.41170035319,50.23436,30.465436,,maclang23,10974.37,58504.3607672593,50.476201,30.453444,,Kiwi-Man (without Tokelau),883.14,16479815.765200382,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Khoyniki,6639.682442244224,3470061.39977695,584,Belarus,12989.73,41108.29230949494,52.2479716623618,29.747291225086386,Pole of inaccessibility,Ukraine,11983.11,45553.9448250675,51.529056549000074,29.73022842400013,Kiev northmost point,nhmartin4,10975.05,55778.5644914799,51.408164,30.055836,,Kiwi-Man (without Tokelau),898.92,16416664.168721346,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Mazyr,6646.522068206821,3442657.1508833007,583,Belarus,12990.82,36758.92551556298,52.309488297000115,29.53221797900011,Gomel centre of extremes,Ukraine,11980.83,54710.415318311345,51.55051040700004,29.264753342000105,Zhytomyr northeastmost point,nhmartin4,10966.22,91131.22651357896,51.408164,30.055836,,Kiwi-Man (without Tokelau),887.68,16461625.342435792,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Bobruysk,6648.14403740374,3436163.790600599,580,Belarus,12987.81,48810.995711166164,53.34940719700012,29.855949402000135,Gomel northmost point,Tones,11968.13,105527.58348583186,53.860871,30.255739,,Cutesy Hawk Tuah Skibidi Bear :3,10960.7,113215.32922395166,53.888889,28.033778,,Kiwi-Man (without Tokelau),898.02,16420245.508455364,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Novolukoml’,6649.612321232124,3430286.8652877086,578,Belarus,12994.73,21107.547777019576,54.613090515000174,29.467115402000054,Minsk Oblast northeastmost point,Tones,11985.49,36047.165968690184,54.821147,28.660987,,Vladimir Putin,10962.87,104540.38552117928,54.803260803000114,30.759965897000086,Smolensk westmost point,Kiwi-Man (without Tokelau),912.95,16360504.807234365,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Gorodok,6642.529746974697,3458638.0509766727,578,Belarus,12987.61,49600.579183321395,55.79860305900019,30.503824234000085,Vitebsk northeastmost point,Vladimir Putin,11981.02,53943.35218391285,55.59777832100008,30.80761528000005,Pskov southmost point,Tones,10969.67,77334.71571492708,55.4858,28.7581,,Kiwi-Man (without Tokelau),933.9,16276611.902231885,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Nevel’,6642.642673267327,3458210.21151578,577,Vladimir Putin,12991.63,33521.03055275935,56.3087894934231,30.083565459610128,"56.308789, 30.083565",Belarus,11983.62,43507.93830610748,55.79860305900019,30.503824234000085,Vitebsk northeastmost point,Tones,10965.43,94284.73467982326,55.4858,28.7581,,Kiwi-Man (without Tokelau),939.32,16254932.058746286,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Porkhov,6643.387403740374,3455205.5247463216,577,Vladimir Putin,12988.16,47384.02097042379,58.18692779700007,29.66902923599997,Novgorod westmost point,Estonia,11968.73,103136.22749659518,57.873310000000174,27.826451999000028,Peipsi eastmost point,Latvia,10960.58,113714.4639763509,57.3017425530001,27.857656479000127,Latgale northeastmost point,Kiwi-Man (without Tokelau),955.08,16191835.544120537,-34.19083399899995,172.0366670000002,Northern Islands southmost point 1
Luga,6639.085126512651,3472426.8443591106,574,Vladimir Putin,12995.06,19778.97661861881,58.740634918000076,30.190319061000082,Novgorod northwestmost point,qwerq9321,11966.29,112896.48086219636,59.713549,30.402586,,Muik,10960.78,112909.98518924382,59.7145,30.39703,,Kiwi-Man (without Tokelau),975.35,16110685.379937446,-29.242777,-177.982224,Northwestmost point
Peterhof,6635.005500550055,3488782.279814449,573,Yelldosh,12999.87,532.1820363804887,59.884804,29.909075,,TheSilverBeluga,11994.36,547.1974553925776,59.88543,29.90887,,Sammy6470,10988.8,748.7710751449343,59.887558,29.910446,,Kiwi-Man (without Tokelau),998.53,16017912.400144394,-29.242777,-177.982224,Northwestmost point
Sestroretsk,6633.561639163916,3494562.417907772,573,dfshapir,12998.6,5615.891662818846,60.145098,29.927123,,Dreamysyu,11990.28,16884.713750175517,59.984299,29.762257,,tastyCheese,10984.63,17437.67188080144,60.03356,30.25028,,Kiwi-Man (without Tokelau),1003.44,15998271.067400945,-29.242777,-177.982224,Northwestmost point
Kerimäki,6627.191419141915,3520037.728496871,571,xopigo,12996.75,12995.063412990696,61.794507,29.309052,,Savanna,11990.7,15193.534443732815,61.7769,29.3411,,TheSuomi,10984.62,17481.830541305906,61.760833,29.383007,,Kiwi-Man (without Tokelau),1034.27,15874836.09125074,-29.242777,-177.982224,Northwestmost point
Joensuu,6618.904125412541,3553235.964764412,571,Finland,12998.14,7437.7656257792205,62.60165987555569,29.908511924000052,"62.60166, 29.908512",Finland (without Åland),11992.39,8438.052956472311,62.60165987555569,29.928060913550045,"62.60166, 29.928061",pandem,10985.61,13531.587053353576,62.721039,29.808984,,Kiwi-Man (without Tokelau),1052.77,15800765.86413203,-29.242777,-177.982224,Northwestmost point
Nurmes,6614.934763476348,3569101.114257233,570,Arctic94 (Big beef cow enjoyer),12999.38,2469.3975056773907,63.55669,29.10216,,Finland (without Åland),11987.44,28221.333380694992,63.753935825777916,28.824901581250046,"63.753936, 28.824902",Finland,10981.71,29137.520056849084,63.753935825777916,28.79231993200006,"63.753936, 28.79232",Kiwi-Man (without Tokelau),1067.52,15741751.075983988,-29.242777,-177.982224,Northwestmost point
Kuhmo,6608.91896589659,3597586.787749411,569,Owava,12999.03,3863.1992916684076,64.117095,29.587054,,Muik,11985.41,36367.71336057614,63.892914,29.010591,,Finland (without Åland),10971.42,48260.768269807486,63.77338027900015,30.06896018900016,Oulu southeastmost point,Kiwi-Man (without Tokelau),1083.09,15679407.367291871,-29.242777,-177.982224,Northwestmost point
Kuusamo,6597.0957315731575,3653747.2724479376,564,Finland (without Åland),12989.45,20197.768479179824,66.00228118900009,28.752260207000063,Lapland southeastmost point,Finland,12989.45,20197.768479179824,66.00228118900009,28.752260207000063,Lapland southeastmost point,Muik,11983.28,22837.96866189258,66.169405,29.155217,,Kiwi-Man (without Tokelau),1120.26,15530605.361459004,-29.242777,-177.982224,Northwestmost point
Bjørnevatn,6553.418668866887,3815374.497126263,561,Vladimir Putin,12998.81,4757.708137058037,69.6619950000001,30.109339,Murmansk northwestmost point,Tones,11993.22,5099.406904223882,69.667989,30.119196,,Arctic94 (Big beef cow enjoyer),10986.89,8392.03121241773,69.65978,30.20326,,Antarctica,1198.44,15217687.365357285,-66.40894396551718,51.142061281337135,"-66.408944, 51.142061"
